FH CODE,FH NAME,ISIN,NAME OF FUND,CCY,"SETTLEMENT 
(BUY)","SETTLEMENT 
(SELL)",DEALING MODE (SUBS),DEALING MODE (RED),CUT OFF,,TICKER_AND_EXCH_CODE
46,ALLIANCE BERNSTEIN                      ,LU0232575059,"AB AMERICAN GROWTH PORTFOLIO ""C"" ACC                                                                                    ",EUR,3,3,D - 0  ,D - 0  ,18:00,CET,ALLAMCE LX Equity
46,ALLIANCE BERNSTEIN                      ,LU0239020794,"AB JAPAN STRAT.VALUE PORTFOLIO (EUR) ""C"" ACC                                                                            ",EUR,3,3,D - 0  ,D - 0  ,15:30,CET,AGJSVEC LX Equity
46,ALLIANCE BERNSTEIN                      ,LU0683600562,"AB SELECT US EQUITY ""A"" (USD) ACC                                                                                       ",USD,3,3,D - 0  ,D - 0  ,15:30,CET,ABUEQAU LX Equity
46,ALLIANCE BERNSTEIN                      ,LU0772116835,"AB SELECT US EQUITY PORTFOLIO ""C"" (USD) ACC                                                                             ",USD,3,3,D - 0  ,D - 0  ,15:30,CET,ABUSECU LX Equity
11,ABERDEEN AM PLC                         ,LU0011963674,"ABERDEEN GLOBAL JAPANESE EQUITY ""A"" ACC                                                                                 ",JPY,4,4,D - 0  ,D - 0  ,11:00,CET,AETJAEI LX Equity
173,ABERDEEN UNIT TRUST MANAGERS LIMITED    ,GB0004521620,"ABERDEEN JAPAN EQUITY ""A"" (GBP) ACC                                                                                     ",GBP,4,4,D - 0  ,D - 0  ,12:03,CET,MURJAPA LN Equity
93,AMUNDI FRANCE                           ,FR0010153320,"AMUNDI ACTIONS USA ISR ""P"" ACC                                                                                          ",EUR,3,3,D - 0  ,D - 0  ,09:30,CET,ATAMERQ FP Equity
37,AMUNDI FUNDS                            ,LU0389812347,"AMUNDI FUNDS INDEX EQUITY NORTH AMERICA ""AE"" ACC                                                                        ",EUR,3,3,D - 0  ,D - 0  ,13:00,CET,CAINACC LX Equity
96,AXA ROSENBERG INVESTMENT MANAGEMENT LTD ,IE0033609722,"AXA ROSENBERG US ENHANCED INDEX EQUITY ALPHA ""B"" ACC                                                                    ",USD,4,4,D - 0  ,D - 0  ,13:00,CET,AXAUSEB ID Equity
96,AXA ROSENBERG INVESTMENT MANAGEMENT LTD ,IE0004345025,"AXA ROSENBERG US EQ ALPHA ""B"" (USD) ACC                                                                                 ",USD,4,4,D - 0  ,D - 0  ,13:00,CET,AXARUEB ID Equity
7,BLACKROCK GLOBAL FUNDS                  ,LU0212924517,"BGF JAPAN FLEXIBLE EQUITY ""A2"" ACC                                                                                      ",USD,3,3,D - 0  ,D - 0  ,11:00,CET,MLJVA2U LX Equity
7,BLACKROCK GLOBAL FUNDS                  ,LU0171289068,"BGF JAPAN SMALL & MIDCAP OPPORTUNITIES ""A2"" (EUR) ACC                                                                   ",EUR,3,3,D - 0  ,D - 0  ,11:00,CET,MIGSJJI LX Equity
7,BLACKROCK GLOBAL FUNDS                  ,LU0277197835,"BGF JAPAN VALUE ""E2"" (EUR HDG) ACC                                                                                      ",EUR,3,3,D - 0  ,D - 0  ,11:00,CET,MLJEHE2 LX Equity
7,BLACKROCK GLOBAL FUNDS                  ,LU0072461881,"BGF US BASIC VALUE ""A2"" ACC                                                                                             ",USD,3,3,D - 0  ,D - 0  ,11:00,CET,MERBVAI LX Equity
7,BLACKROCK GLOBAL FUNDS                  ,LU0171296865,"BGF US FLEXIBLE EQUITY ""A2"" (EUR) ACC                                                                                   ",EUR,3,3,D - 0  ,D - 0  ,11:00,CET,MLFEEUA LX Equity
7,BLACKROCK GLOBAL FUNDS                  ,LU0097036916,"BGF US GROWTH ""A2"" (USD) ACC                                                                                            ",USD,3,3,D - 0  ,D - 0  ,11:00,CET,MEREQGA LX Equity
7,BLACKROCK GLOBAL FUNDS                  ,LU0006061336,"BGF US SMALL & MIDCAP OPPORTUNITIES ""A2"" ACC                                                                            ",USD,3,3,D - 0  ,D - 0  ,11:00,CET,MIGSNOI LX Equity
165,BLACKROCK GLOBAL INDEX FUNDS            ,LU0836515808,"BGIF NORTH AMERICA EQUITY INDEX ""F"" (USD) ACC                                                                           ",USD,3,3,D - 0  ,D - 0  ,11:00,CET,BGINAF2 LX Equity
237,BLI - BANQUE DE LUXEMBOURG INVESTMENTS  ,LU0093570256,"BL EQUITIES AMERICA ""B"" ACC                                                                                             ",USD,3,3,D - 0  ,D - 0  ,15:31,CET,BLE4727 LX Equity
170,BLACKROCK FUND MANAGERS LIMITED         ,GB00B08HDJ29,"BLACKROCK JAPAN EQUITY TRACKER ""L"" ACC                                                                                  ",GBP,4,4,D - 0  ,D - 0  ,12:03,CET,BJPNETA LN Equity
170,BLACKROCK FUND MANAGERS LIMITED         ,GB00B08HD588,"BLACKROCK NORTH AMERICAN EQUITY TRACKER ""L"" ACC                                                                         ",GBP,4,4,D - 0  ,D - 0  ,12:03,CET,BNAMEQA LN Equity
73,BNP PARIBAS INVESTMENT PARTNERS*        ,LU0116160465,"BNPPL1 EQUITY USA CORE ""C"" ACC                                                                                          ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,FOREQUC LX Equity
51,CANDRIAM LUX                            ,LU0163125924,"CANDRIAM QUANT EQUITIES USA ""C"" ACC                                                                                     ",USD,3,3,D - 0  ,D - 0  ,11:00,CET,DEXQUEC LX Equity
22,CREDIT SUISSE                           ,LU0055732977,"CS EQ USA ""B"" ACC                                                                                                       ",USD,3,3,D - 0  ,D - 0  ,11:00,CET,CRSNABI LX Equity
1099,CULLEN FUNDS PLC                        ,IE00B4Z7BN36,"CULLEN NORTH AMERICAN HIGH DIVIDEND VALUE EQUITY ""C"" (USD) ACC                                                          ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,CUNAHCA ID Equity
190,DB PLATINUM ADVISORS                    ,LU0194164702,"DB PLATINUM IV CROCI US ""R1C"" ACC                                                                                       ",USD,3,3,D - 0  ,D - 0  ,11:00,CET,XCRUR1C LX Equity
125,EDMOND DE ROTHSCHILD ASSET MANAGEMENT   ,FR0010589044,"EDMOND DE ROTHSCHILD US VALUE & YIELD ""C"" ACC                                                                           ",EUR,3,3,D - 0  ,D - 0  ,11:01,CET,ROTHAMR FP Equity
166,EURIZON CAPITAL S.A.                    ,LU0130323784,"EURIZON EF EQUITY NORTH AMERICA LTE ""R"" ACC                                                                             ",EUR,3,3,D - 0  ,D - 0  ,13:01,CET,SANOUSR LX Equity
9,FIDELITY WORLDWIDE INVESTMENT           ,LU0251127410,"FIDELITY AMERICA ""A"" (EUR) ACC                                                                                          ",EUR,3,3,D - 0  ,D - 0  ,15:30,CET,FIDAAEA LX Equity
